Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
South Africa,ZAF,2016,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,2.2
South Africa,ZAF,2016,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,1
South Africa,ZAF,2016,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,2.1
South Africa,ZAF,2016,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,3.8
South Africa,ZAF,2016,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,5.5
South Africa,ZAF,2016,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,1
South Africa,ZAF,2019,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,2.92634
South Africa,ZAF,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.01086
South Africa,ZAF,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.0188
South Africa,ZAF,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.0864
South Africa,ZAF,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.18321
South Africa,ZAF,2019,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.76621
South Africa,ZAF,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.88007
South Africa,ZAF,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.67807
South Africa,ZAF,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.74658
South Africa,ZAF,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.96411
South Africa,ZAF,2019,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,15.20125
South Africa,ZAF,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,15.34012
South Africa,ZAF,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,15.04442
South Africa,ZAF,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,15.24914
South Africa,ZAF,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,15.76148
South Africa,ZAF,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.5
South Africa,ZAF,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.9
South Africa,ZAF,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.5
South Africa,ZAF,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.1
South Africa,ZAF,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.9
South Africa,ZAF,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.7
South Africa,ZAF,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.6
South Africa,ZAF,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.6
South Africa,ZAF,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,28.7
South Africa,ZAF,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.1
South Africa,ZAF,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.6
South Africa,ZAF,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.2
South Africa,ZAF,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.9
South Africa,ZAF,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.7
South Africa,ZAF,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.4
South Africa,ZAF,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.1
South Africa,ZAF,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.7
South Africa,ZAF,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.2
South Africa,ZAF,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.7
South Africa,ZAF,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.2
South Africa,ZAF,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,44.4
South Africa,ZAF,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,42.9
South Africa,ZAF,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,41.2
South Africa,ZAF,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,39.6
South Africa,ZAF,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,38
South Africa,ZAF,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,36.6
South Africa,ZAF,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,35.3
South Africa,ZAF,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,34.5
South Africa,ZAF,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,34.6
South Africa,ZAF,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,35.6
South Africa,ZAF,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,37.2
South Africa,ZAF,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,38.9
South Africa,ZAF,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.1
South Africa,ZAF,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.9
South Africa,ZAF,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.8
South Africa,ZAF,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.8
South Africa,ZAF,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.6
South Africa,ZAF,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,40.7
South Africa,ZAF,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,41
South Africa,ZAF,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,41.3
South Africa,ZAF,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.5
South Africa,ZAF,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.9
South Africa,ZAF,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.4
South Africa,ZAF,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.1
South Africa,ZAF,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.8
South Africa,ZAF,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.6
South Africa,ZAF,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.5
South Africa,ZAF,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.5
South Africa,ZAF,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,28.7
South Africa,ZAF,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29
South Africa,ZAF,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.5
South Africa,ZAF,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.2
South Africa,ZAF,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.9
South Africa,ZAF,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.7
South Africa,ZAF,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.4
South Africa,ZAF,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.1
South Africa,ZAF,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.7
South Africa,ZAF,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.3
South Africa,ZAF,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.8
South Africa,ZAF,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.3
